2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020
0.000571967,0.000695773,0.000526596,0.000602617,0.000496429,0.000689257,0.000683223,0.000764554,0.00168115,0.000780723,0.000455885,0.000649919,0.000593205,0.001621057,0.001690803,0.002375475,0.001954101,0.001122214,0.001205476,0.000884257,0.001147313,0.000710736,0.000959312,0.000660538,0.000942177,0.000984653,0.000912734,0.001222369,0.001176757,0.001433538
0.002367739,0.002339025,0.010493795,0.013450559,0.011588807,0.009247453,0.004920955,0.007156765,0.007817187,0.015830715,0.007397342,0.005990357,0.003930711,0.003203549,0.003500777,0.00310887,0.004553106,0.010218296,0.006832375,0.005912751,0.00903171,0.004071953,0.00980854,0.007067519,0.003131376,0.005235257,0.005149115,0.0103867,0.010710314,0.005787807
0.005535573,0.008824478,0.004467043,0.002378453,0.002961345,0.013582017,0.002622064,0.003290805,0.002870743,0.002710448,0.002936952,0.003349095,0.002115835,0.00209461,0.001902952,0.001948887,0.003005062,0.002790595,0.002524493,0.002098411,0.002402846,0.001365044,0.002016996,0.002858705,0.003758386,0.003744131,0.002739592,0.002878029,0.002629983,0.002440227
0.008625105,0.00788293,0.006583961,0.005939029,0.007640959,0.011066284,0.01714256,0.009998227,0.011404198,0.012188653,0.01007921,0.011955138,0.009986519,0.011443551,0.013972866,0.013564702,0.015636093,0.017166302,0.016623818,0.015780496,0.012358098,0.006995052,0.012106695,0.007805851,0.013078158,0.018006371,0.015248094,0.014519903,0.014126049,0.012989045
0.010435916,0.008897045,0.004746301,0.005120365,0.006075254,0.009723563,0.004721573,0.004677643,0.004909395,0.01277921,0.024334425,0.008956495,0.00711853,0.007361856,0.007822991,0.007037246,0.009763285,0.010011609,0.011788808,0.0096165,0.00927979,0.006106032,0.009460245,0.00781168,0.011454991,0.013429219,0.012471699,0.015051742,0.014391737,0.011485242
0.001113486,0.002414624,0.001501218,0.000745638,0.000607074,0.000529092,0.000498335,0.000446761,0.000492432,0.000398606,0.001204516,0.002823793,0.002013533,0.001472014,0.001850425,0.001779279,0.00169322,0.003000261,0.001886464,0.001350226,0.001071544,0.000696239,0.001233099,0.001610889,0.000944475,0.001408013,0.001180594,0.00161151,0.002545732,0.002248099
0.01184443,0.012701145,0.014579076,0.022916368,0.030788235,0.012486637,0.012241423,0.011876452,0.01086401,0.011640888,0.016385942,0.016741701,0.012707725,0.01188391,0.007548132,0.008154368,0.018675342,0.013404327,0.012769577,0.012930129,0.011352246,0.006463748,0.009352366,0.008811491,0.012302397,0.014212789,0.009942811,0.009457646,0.00930499,0.011107032
0.000244373,0.000199095,0.000131339,0.000142899,0.000112874,0.000170837,0.000186572,9.00745E-05,0.000105809,0.000283068,0.000497256,0.00029206,0.000436725,0.000291578,0.000416173,0.000440418,0.000510101,0.000446519,0.00056421,0.000409751,0.000351307,0.000356445,0.000274559,0.000271669,0.000274077,0.000392571,0.000400117,0.000238914,0.000279857,0.000234419
0.003901351,0.002104015,0.002020407,0.00203645,0.001943123,0.003628045,0.002363504,0.0024121,0.003202394,0.002996418,0.002935059,0.002655078,0.002661167,0.004182152,0.003534483,0.002704962,0.003364223,0.004578294,0.005634517,0.003061993,0.00290719,0.002276969,0.004016458,0.002430016,0.00298506,0.004412483,0.003746548,0.003709779,0.003161409,0.003465981
0.002216347,0.00158604,0.001843258,0.001526324,0.0031477,0.00247603,0.001134607,0.001157343,0.001756149,0.002659835,0.00243138,0.003738561,0.003497779,0.002185941,0.002335779,0.002372211,0.003946746,0.004379004,0.005771651,0.005170928,0.002778994,0.00184901,0.002686954,0.002470278,0.003232344,0.005367608,0.004797291,0.004649644,0.00434942,0.005734945
0.002951139,0.002773416,0.002985253,0.0024928,0.003349778,0.006725966,0.002312601,0.003086494,0.004464536,0.003278248,0.003529152,0.00611384,0.003826274,0.004030958,0.005595251,0.003958878,0.004138527,0.004789995,0.004501952,0.003476605,0.002814132,0.001693872,0.004770737,0.003418556,0.003737412,0.006836562,0.005906404,0.005833774,0.004925351,0.005637344
0.001583175,0.001649796,0.001251277,0.001174511,0.002309957,0.002337666,0.001129693,0.001110009,0.002231525,0.002041653,0.001767444,0.002333124,0.002536471,0.00177774,0.002280886,0.002352959,0.003429203,0.004230783,0.004444578,0.004172035,0.002831424,0.001228414,0.002934233,0.001647071,0.004407936,0.005278107,0.004125551,0.004473195,0.004503175,0.003616652
0.00129742,0.001231022,0.000856094,0.000563499,0.001157542,0.000854766,0.001703777,0.001386394,0.001840115,0.002247357,0.002629368,0.002482849,0.003763006,0.001838787,0.00133903,0.001667037,0.003646588,0.005495999,0.002995443,0.002578905,0.002783412,0.001934843,0.00485415,0.002575807,0.004426103,0.005852336,0.003902,0.004142361,0.003582846,0.005102479
0.003635195,0.00386567,0.002537899,0.003259982,0.003073713,0.004953341,0.003327182,0.002602781,0.003331282,0.002250919,0.003241623,0.005021075,0.004257103,0.004043205,0.004969205,0.004544083,0.005766688,0.006209991,0.005116082,0.00504496,0.004763685,0.00391754,0.004400415,0.003165511,0.004826785,0.007486962,0.00533497,0.005087918,0.004996833,0.005731394
0.009175515,0.006805258,0.004232754,0.004617452,0.007225805,0.007051915,0.004615312,0.004537195,0.004425371,0.010545234,0.008795096,0.005714833,0.006798837,0.007040679,0.010315164,0.013760329,0.010788145,0.01291228,0.009125755,0.006840571,0.008540949,0.004756564,0.008354753,0.004815955,0.009657057,0.01388232,0.010740526,0.010294832,0.008052987,0.008928323
0.000760604,0.000725365,0.000646165,0.000728505,0.000567313,0.000709665,0.001066591,0.000477646,0.000712805,0.00064442,0.002296467,0.003017994,0.00115556,0.001159049,0.000905747,0.001007277,0.001296516,0.002214824,0.001474456,0.001500972,0.000968898,0.000408563,0.000864926,0.001221154,0.001249764,0.001618901,0.001024025,0.000960525,0.000879928,0.001116483
0.000811564,0.001357243,0.001053665,0.001016327,0.000662093,0.000825119,0.001012165,0.00082072,0.001373177,0.002762645,0.001224777,0.001152836,0.00096805,0.001253316,0.001332629,0.001541911,0.003466,0.003349112,0.001401478,0.001592686,0.001307182,0.001167581,0.001737757,0.001626932,0.001694117,0.001882827,0.001656184,0.001598156,0.001789602,0.001581271
0.007210756,0.00215812,0.000464817,0.000715505,0.0010985,0.005565617,0.00162773,0.001144924,0.000322064,0.000123603,0.000222834,0.000369648,0.000872185,0.000530971,0.001240672,0.001620766,0.000989985,0.000788622,0.001409539,0.001473371,0.003476552,0.000720147,0.001820388,0.001319012,0.000709702,0.001338742,0.001194249,0.001603938,0.001248216,0.001241253
8.08479E-05,7.25278E-05,0.000123596,0.00012767,0.000119637,0.000194861,0.000125948,7.25278E-05,0.000931214,0.000239904,0.000186541,0.000156589,0.000190156,0.000150277,0.000171508,0.000437405,0.000749091,0.00027416,0.000400051,0.00035759,0.000341581,0.000130309,0.00014913,0.000118891,0.000363041,0.000422716,0.000283054,0.000293497,0.00042656,0.000269684
0.004290987,0.003172932,0.001342502,0.001694508,0.001967051,0.001431026,0.001074838,0.001657564,0.001790002,0.001882709,0.002760981,0.003885309,0.002105762,0.002422219,0.005767321,0.00359046,0.003410624,0.003842789,0.003239848,0.002737282,0.004118121,0.001672899,0.002171284,0.003807937,0.00241734,0.007399792,0.005254298,0.002497499,0.002280719,0.003059315
0.0005913,0.000365214,0.000367388,0.000244201,0.000398548,0.000402171,0.000336229,0.00028478,0.000128984,0.000165216,0.000334055,0.000672458,0.000650719,0.000701444,0.000226085,0.000168115,0.000209419,0.000277534,0.000428257,0.000560865,0.000168839,0.0001971,0.000440576,0.00016739,0.000756516,0.000734777,0.001322453,0.000798544,0.000976079,0.000483329
0.001137315,0.001271397,0.001084469,0.000929664,0.001332946,0.001661624,0.001005512,0.001494591,0.002258258,0.001241969,0.001215236,0.001659344,0.001398847,0.001710531,0.002175778,0.001050275,0.001203423,0.001291913,0.001922742,0.001571268,0.001477183,0.000803457,0.001403614,0.00174887,0.001379367,0.001798607,0.00219733,0.001915903,0.001697683,0.002508185
0.000986258,0.000742933,0.000680401,0.000939926,0.000848234,0.000915626,0.000776953,0.000704377,0.00128207,0.007480526,0.003367014,0.000743581,0.000803521,0.000718309,0.000715717,0.000717337,0.00131609,0.001487811,0.001536087,0.001015094,0.000972002,0.000704701,0.002994738,0.001690311,0.001249022,0.002622461,0.002426441,0.002335072,0.004261904,0.003038154
0.000705209,0.001866821,0.002779239,0.002938241,0.00329279,0.008492054,0.001202043,0.001364156,0.001510329,0.001340441,0.001020881,0.000924469,0.001172886,0.001129345,0.00222448,0.003767853,0.003673385,0.004729643,0.005493555,0.002179772,0.001293402,0.001171331,0.002332943,0.000883649,0.001253359,0.002876429,0.002517604,0.001506442,0.00185166,0.002159168
7.80055E-05,0.000197021,0.001030301,0.000870625,0.000309753,0.000367167,0.000125123,0.000293,0.000767839,0.001065551,0.001553653,0.001448249,0.000962242,0.000799251,0.000728924,0.001499206,0.002314162,0.000744629,0.000966081,0.000861201,0.00058984,0.000369959,0.000977773,0.000840609,0.000737126,0.000822984,0.001047751,0.000799076,0.000612177,0.000639401
0.000768526,0.001451105,0.000589636,0.000473708,0.000840481,0.001449106,0.000364775,0.001314189,0.001033362,0.000802505,0.001217249,0.001905824,0.000505688,0.00042074,0.000509686,0.002616386,0.002213634,0.001525059,0.000943418,0.00076153,0.000825491,0.000883455,0.000587637,0.000553658,0.007526356,0.004092475,0.005707478,0.002029748,0.001450105,0.001422123
0.000329872,0.000326051,0.001080044,0.001263448,0.000871168,0.000351524,0.000548938,0.000932302,0.001025278,0.00043431,0.000452141,0.000622809,0.0002802,0.000314588,0.000508181,0.000471246,0.000499266,0.000466151,0.000691585,0.000424121,0.000677575,0.000370628,0.000673754,0.000320957,0.000211424,0.000430489,0.000491624,0.000419027,0.000911924,0.00030822
0.000528142,0.000338011,0.00014788,0.000354166,0.000191374,0.000139181,0.000242324,0.000137938,0.000367835,0.000162792,0.00019883,0.000477192,0.000285818,0.000151608,0.000325584,0.000170248,0.00030073,0.000285818,0.000187646,0.000393932,0.000219956,9.56869E-05,0.000556724,0.000339253,0.000422514,0.000410087,0.000805261,0.000680992,0.000354166,0.000598975
0.000170092,0.000149135,0.000109773,0.000287737,0.00104794,0.000206129,0.000122413,0.000142039,0.002213747,0.000858,0.000224867,0.000213668,0.00032832,0.000295942,0.000311466,0.000282082,0.000516486,0.000515931,0.000529902,0.000297162,0.000233073,0.0001233,0.00020635,0.00017863,0.000375999,0.000904349,0.000422347,0.0003862,0.000361806,0.000465702
9.84401E-05,6.67205E-05,5.68765E-05,4.48449E-05,6.72674E-05,0.000154496,3.58212E-05,3.1993E-05,4.32042E-05,2.51569E-05,3.58212E-05,0.000166254,9.02367E-05,9.81666E-05,0.000151762,0.000300516,0.000267429,0.000677322,0.000304344,0.00020563,0.000358212,8.39475E-05,8.17599E-05,6.6447E-05,0.000106917,0.000152582,0.000143285,0.000149574,0.000232975,0.00034454
6.60451E-05,9.19739E-05,7.2405E-05,0.000438344,0.000867392,0.000307232,0.000118392,2.73965E-05,0.000161933,8.31679E-05,3.03318E-05,0.000110564,6.94697E-05,5.9196E-05,5.62606E-05,7.04481E-05,9.73554E-05,7.53403E-05,0.000219172,0.000102248,0.000231892,7.04481E-05,4.94115E-05,3.32672E-05,0.000205963,0.000378659,0.000206452,0.000221618,0.000187862,0.000243633
0.00034625,0.000115817,0.000227433,0.000121218,0.000325247,0.003221865,0.000450665,0.000127818,0.000220232,9.6614E-05,0.000111616,0.000219632,0.00034385,0.000225032,0.000247836,0.000253837,0.000289842,0.000146421,0.000489671,0.000578484,0.000168624,0.000114016,0.000226233,0.00020823,0.000541878,0.000736906,0.000457266,0.000467468,0.000409859,0.000678098
