states,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20
OAXACA,2370,2883,2182,2497,2057,2856,2831,3168,6966,3235,1889,2693,2458,6717,7006,9843,8097,4650,4995,3664,4754,2945,3975,2737,3904,4080,3782,5065,4876,5940
NAYARIT,3051,3014,13522,17332,14933,11916,6341,9222,10073,20399,9532,7719,5065,4128,4511,4006,5867,13167,8804,7619,11638,5247,12639,9107,4035,6746,6635,13384,13801,7458
SINALOA,17474,27856,14101,7508,9348,42874,8277,10388,9062,8556,9271,10572,6679,6612,6007,6152,9486,8809,7969,6624,7585,4309,6367,9024,11864,11819,8648,9085,8302,7703
SONORA,26520,24238,20244,18261,23494,34026,52709,30742,35065,37477,30991,36759,30706,35186,42963,41708,48077,52782,51114,48521,37998,21508,37225,24001,40212,55365,46884,44645,43434,39938
CHIHUAHUA,39672,33822,18043,19465,23095,36964,17949,17782,18663,48580,92507,34048,27061,27986,29739,26752,37115,38059,44815,36557,35277,23212,35963,29696,43546,51051,47411,57219,54710,43661
COAHUILA DE ZARAGOZA,3584,7772,4832,2400,1954,1703,1604,1438,1585,1283,3877,9089,6481,4738,5956,5727,5450,9657,6072,4346,3449,2241,3969,5185,3040,4532,3800,5187,8194,7236
QUERETARO DE ARTEAGA,27001,28954,33235,52241,70186,28465,27906,27074,24766,26537,37354,38165,28969,27091,17207,18589,42573,30557,29110,29476,25879,14735,21320,20087,28045,32400,22666,21560,21212,25320
GUANAJUATO,1522,1240,818,890,703,1064,1162,561,659,1763,3097,1819,2720,1816,2592,2743,3177,2781,3514,2552,2188,2220,1710,1692,1707,2445,2492,1488,1743,1460
VERACRUZ DE IGNACIO DE LA LLAVE,33317,17968,17254,17391,16594,30983,20184,20599,27348,25589,25065,22674,22726,35715,30184,23100,28730,39098,48118,26149,24827,19445,34300,20752,25492,37682,31995,31681,26998,29599
TAMAULIPAS,8091,5790,6729,5572,11491,9039,4142,4225,6411,9710,8876,13648,12769,7980,8527,8660,14408,15986,21070,18877,10145,6750,9809,9018,11800,19595,17513,16974,15878,20936
BAJA CALIFORNIA,10727,10081,10851,9061,12176,24448,8406,11219,16228,11916,12828,22223,13908,14652,20338,14390,15043,17411,16364,12637,10229,6157,17341,12426,13585,24850,21469,21205,17903,20491
PUEBLA,10456,10896,8264,7757,15256,15439,7461,7331,14738,13484,11673,15409,16752,11741,15064,15540,22648,27942,29354,27554,18700,8113,19379,10878,29112,34859,27247,29543,29741,23886
YUCATAN,2931,2781,1934,1273,2615,1931,3849,3132,4157,5077,5940,5609,8501,4154,3025,3766,8238,12416,6767,5826,6288,4371,10966,5819,9999,13221,8815,9358,8094,11527
NUEVO LEON,20394,21687,14238,18289,17244,27789,18666,14602,18689,12628,18186,28169,23883,22683,27878,25493,32352,34839,28702,28303,26725,21978,24687,17759,27079,42003,29930,28544,28033,32154
DURANGO,17149,12719,7911,8630,13505,13180,8626,8480,8271,19709,16438,10681,12707,13159,19279,25718,20163,24133,17056,12785,15963,8890,15615,9001,18049,25946,20074,19241,15051,16687
SAN LUIS POTOSI,2180,2079,1852,2088,1626,2034,3057,1369,2043,1847,6582,8650,3312,3322,2596,2887,3716,6348,4226,4302,2777,1171,2479,3500,3582,4640,2935,2753,2522,3200
JALISCO,6825,11414,8861,8547,5568,6939,8512,6902,11548,23233,10300,9695,8141,10540,11207,12967,29148,28165,11786,13394,10993,9819,14614,13682,14247,15834,13928,13440,15050,13298
QUINTANA ROO,12426,3719,801,1233,1893,9591,2805,1973,555,213,384,637,1503,915,2138,2793,1706,1359,2429,2539,5991,1241,3137,2273,1223,2307,2058,2764,2151,2139
MEXICO,1409,1264,2154,2225,2085,3396,2195,1264,16229,4181,3251,2729,3314,2619,2989,7623,13055,4778,6972,6232,5953,2271,2599,2072,6327,7367,4933,5115,7434,4700
AGUASCALIENTES,6156,4552,1926,2431,2822,2053,1542,2378,2568,2701,3961,5574,3021,3475,8274,5151,4893,5513,4648,3927,5908,2400,3115,5463,3468,10616,7538,3583,3272,4389
TLAXCALA,816,504,507,337,550,555,464,393,178,228,461,928,898,968,312,232,289,383,591,774,233,272,608,231,1044,1014,1825,1102,1347,667
MICHOACAN DE OCAMPO,5488,6135,5233,4486,6432,8018,4852,7212,10897,5993,5864,8007,6750,8254,10499,5068,5807,6234,9278,7582,7128,3877,6773,8439,6656,8679,10603,9245,8192,12103
HIDALGO,3044,2293,2100,2901,2618,2826,2398,2174,3957,23088,10392,2295,2480,2217,2209,2214,4062,4592,4741,3133,3000,2175,9243,5217,3855,8094,7489,7207,13154,9377
TABASCO,1814,4802,7149,7558,8470,21844,3092,3509,3885,3448,2626,2378,3017,2905,5722,9692,9449,12166,14131,5607,3327,3013,6001,2273,3224,7399,6476,3875,4763,5554
CHIAPAS,447,1129,5904,4989,1775,2104,717,1679,4400,6106,8903,8299,5514,4580,4177,8591,13261,4267,5536,4935,3380,2120,5603,4817,4224,4716,6004,4579,3508,3664
CAMPECHE,769,1452,590,474,841,1450,365,1315,1034,803,1218,1907,506,421,510,2618,2215,1526,944,762,826,884,588,554,7531,4095,5711,2031,1451,1423
COLIMA,259,256,848,992,684,276,431,732,805,341,355,489,220,247,399,370,392,366,543,333,532,291,529,252,166,338,386,329,716,242
BAJA CALIFORNIA SUR,425,272,119,285,154,112,195,111,296,131,160,384,230,122,262,137,242,230,151,317,177,77,448,273,340,330,648,548,285,482
DISTRITO FEDERAL,1534,1345,990,2595,9451,1859,1104,1281,19965,7738,2028,1927,2961,2669,2809,2544,4658,4653,4779,2680,2102,1112,1861,1611,3391,8156,3809,3483,3263,4200
GUERRERO,360,244,208,164,246,565,131,117,158,92,131,608,330,359,555,1099,978,2477,1113,752,1310,307,299,243,391,558,524,547,852,1260
MORELOS,135,188,148,896,1773,628,242,56,331,170,62,226,142,121,115,144,199,154,448,209,474,144,101,68,421,774,422,453,384,498
ZACATECAS,577,193,379,202,542,5369,751,213,367,161,186,366,573,375,413,423,483,244,816,964,281,190,377,347,903,1228,762,779,683,1130